ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u1	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	5	38	47	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg1.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u1	s	English	Positive	mixed positive	3.682	1	7	8	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg1.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u1	s	English	Neutral	neutral positive	2.730	1	5	6	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg1.3	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u1	s	English	Neutral	neutral positive	2.578	1	13	16	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg1.4	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u1	s	English	Positive	mixed positive	3.687	1	4	6	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg1.5	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u1	s	English	Neutral	neutral positive	3.184	1	9	11	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u2	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	1	32	35	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg2.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u2	s	English	Neutral	neutral negative	1.990	1	32	35	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u3	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	2	59	67	6	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg3.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u3	s	English	Neutral	neutral negative	2.378	1	45	50	4	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg3.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u3	s	English	Neutral	neutral positive	3.114	1	14	17	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u4	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	4	46	53	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg4.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u4	s	English	Neutral	neutral positive	2.834	1	19	21	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg5.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u4	s	English	Neutral	neutral negative	2.405	1	13	16	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg5.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u4	s	English	Neutral	neutral positive	3.256	1	9	10	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg6.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u4	s	English	Neutral	neutral positive	2.956	1	5	6	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	8	314	348	7	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg7.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	s	English	Neutral	neutral positive	3.214	1	81	90	3	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg8.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	s	English	Neutral	neutral negative	1.891	1	28	30	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg8.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	s	English	Neutral	neutral positive	3.465	1	81	88	3	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg9.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	s	English	Negative	negative	-0.005	1	21	24	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg9.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	s	English	Positive	mixed positive	3.613	1	30	35	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg9.3	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	s	English	Negative	negative	0.104	1	44	48	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg9.4	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	s	English	Negative	negative	0.112	1	18	20	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg10.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u5	s	English	Neutral	neutral positive	2.988	1	11	13	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u6	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	4	63	73	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg11.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u6	s	English	Positive	mixed positive	4.275	1	5	7	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg11.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u6	s	English	Positive	mixed positive	4.122	1	9	10	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg12.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u6	s	English	Negative	mixed negative	1.102	1	18	21	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg12.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u6	s	English	Positive	mixed positive	3.566	1	31	35	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u7	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	4	64	77	3	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg13.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u7	s	English	Negative	negative	0.078	1	22	26	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg13.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u7	s	English	Negative	mixed negative	1.185	1	20	23	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg13.3	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u7	s	English	Negative	negative	0.168	1	21	24	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg13.4	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u7	s	English	Positive	mixed positive	3.657	1	1	4	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u8	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	2	48	54	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg14.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u8	s	English	Neutral	neutral positive	3.459	1	25	28	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg14.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u8	s	English	Neutral	neutral negative	1.653	1	23	26	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	10	316	354	9	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg15.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Positive	mixed positive	3.818	1	31	34	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg15.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Neutral	neutral positive	3.266	1	16	17	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg16.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Negative	mixed negative	0.595	1	36	38	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg16.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Positive	positive	4.671	1	41	46	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg17.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Neutral	neutral positive	3.411	1	44	47	2	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg17.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Neutral	neutral positive	3.378	1	46	55	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg17.3	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Positive	mixed positive	3.974	1	22	27	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg17.4	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Positive	positive	4.907	1	39	44	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg17.5	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Neutral	neutral positive	3.296	1	8	9	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg17.6	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u9	s	English	Positive	positive	4.845	1	33	37	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u10	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	3	21	24	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg18.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u10	s	English	Neutral	neutral positive	2.505	1	6	7	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg18.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u10	s	English	Neutral	neutral positive	2.769	1	8	9	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg18.3	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u10	s	English	Neutral	neutral positive	2.705	1	7	8	0	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u11	ParlaMint-IT-en_2022-06-15-LEG18-Senato-sed-440	u	English	-	-	-	40	1426	1589	25	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg19.1	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u11	s	English	Neutral	neutral positive	3.021	1	48	55	1	
ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.seg19.2	ParlaMint-IT_2022-06-15-LEG18-Senato-sed-440.ana.u11	s	English	Neutral	neutral positive	3.374	1	13	14	0	
