ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2022-04-29.u1	ParlaMint-IS-en_2022-04-29	u	English	-	-	-	1	38	46	2	
ParlaMint-IS_2022-04-29.seg1.1	ParlaMint-IS_2022-04-29.u1	s	English	Neutral	neutral negative	2.047	1	38	46	2	
ParlaMint-IS_2022-04-29.u2	ParlaMint-IS-en_2022-04-29	u	English	-	-	-	2	55	61	4	
ParlaMint-IS_2022-04-29.seg2.1	ParlaMint-IS_2022-04-29.u2	s	English	Neutral	neutral positive	2.555	1	41	46	4	
ParlaMint-IS_2022-04-29.seg2.2	ParlaMint-IS_2022-04-29.u2	s	English	Neutral	neutral positive	2.526	1	14	15	0	
ParlaMint-IS_2022-04-29.u3	ParlaMint-IS-en_2022-04-29	u	English	-	-	-	1	17	20	2	
ParlaMint-IS_2022-04-29.seg3.1	ParlaMint-IS_2022-04-29.u3	s	English	Neutral	neutral positive	2.714	1	17	20	2	
ParlaMint-IS_2022-04-29.u4	ParlaMint-IS-en_2022-04-29	u	English	-	-	-	14	280	317	10	
ParlaMint-IS_2022-04-29.seg4.1	ParlaMint-IS_2022-04-29.u4	s	English	Neutral	neutral positive	3.201	1	1	2	0	
ParlaMint-IS_2022-04-29.seg4.2	ParlaMint-IS_2022-04-29.u4	s	English	Negative	negative	0.237	1	8	9	0	
ParlaMint-IS_2022-04-29.seg4.3	ParlaMint-IS_2022-04-29.u4	s	English	Negative	mixed negative	0.957	1	29	32	1	
ParlaMint-IS_2022-04-29.seg4.4	ParlaMint-IS_2022-04-29.u4	s	English	Negative	mixed negative	0.881	1	26	31	5	
ParlaMint-IS_2022-04-29.seg4.5	ParlaMint-IS_2022-04-29.u4	s	English	Neutral	neutral positive	3.020	1	10	12	0	
ParlaMint-IS_2022-04-29.seg4.6	ParlaMint-IS_2022-04-29.u4	s	English	Negative	negative	0.182	1	21	25	0	
ParlaMint-IS_2022-04-29.seg4.7	ParlaMint-IS_2022-04-29.u4	s	English	Negative	negative	0.193	1	15	18	0	
ParlaMint-IS_2022-04-29.seg5.1	ParlaMint-IS_2022-04-29.u4	s	English	Negative	mixed negative	0.811	1	29	31	1	
ParlaMint-IS_2022-04-29.seg5.2	ParlaMint-IS_2022-04-29.u4	s	English	Positive	positive	5.364	1	19	20	0	
ParlaMint-IS_2022-04-29.seg5.3	ParlaMint-IS_2022-04-29.u4	s	English	Positive	positive	5.290	1	20	22	0	
ParlaMint-IS_2022-04-29.seg5.4	ParlaMint-IS_2022-04-29.u4	s	English	Positive	positive	4.960	1	7	10	0	
ParlaMint-IS_2022-04-29.seg5.5	ParlaMint-IS_2022-04-29.u4	s	English	Negative	mixed negative	0.789	1	25	27	2	
ParlaMint-IS_2022-04-29.seg6.1	ParlaMint-IS_2022-04-29.u4	s	English	Negative	negative	0.266	1	25	27	1	
ParlaMint-IS_2022-04-29.seg6.2	ParlaMint-IS_2022-04-29.u4	s	English	Negative	negative	0.312	1	45	51	0	
ParlaMint-IS_2022-04-29.u5	ParlaMint-IS-en_2022-04-29	u	English	-	-	-	13	294	339	1	
ParlaMint-IS_2022-04-29.seg7.1	ParlaMint-IS_2022-04-29.u5	s	English	Positive	mixed positive	3.689	1	3	4	0	
ParlaMint-IS_2022-04-29.seg7.2	ParlaMint-IS_2022-04-29.u5	s	English	Positive	positive	5.186	1	57	62	0	
ParlaMint-IS_2022-04-29.seg8.1	ParlaMint-IS_2022-04-29.u5	s	English	Negative	mixed negative	1.261	1	20	25	0	
ParlaMint-IS_2022-04-29.seg8.2	ParlaMint-IS_2022-04-29.u5	s	English	Neutral	neutral negative	2.244	1	8	9	0	
ParlaMint-IS_2022-04-29.seg8.3	ParlaMint-IS_2022-04-29.u5	s	English	Neutral	neutral negative	2.440	1	12	14	0	
ParlaMint-IS_2022-04-29.seg8.4	ParlaMint-IS_2022-04-29.u5	s	English	Neutral	neutral positive	3.270	1	4	5	0	
ParlaMint-IS_2022-04-29.seg8.5	ParlaMint-IS_2022-04-29.u5	s	English	Neutral	neutral negative	2.281	1	20	26	0	
ParlaMint-IS_2022-04-29.seg8.6	ParlaMint-IS_2022-04-29.u5	s	English	Negative	negative	0.141	1	72	86	1	
ParlaMint-IS_2022-04-29.seg8.7	ParlaMint-IS_2022-04-29.u5	s	English	Negative	mixed negative	1.048	1	24	26	0	
ParlaMint-IS_2022-04-29.seg8.8	ParlaMint-IS_2022-04-29.u5	s	English	Negative	mixed negative	1.222	1	16	17	0	
ParlaMint-IS_2022-04-29.seg8.9	ParlaMint-IS_2022-04-29.u5	s	English	Negative	negative	0.133	1	16	17	0	
ParlaMint-IS_2022-04-29.seg8.10	ParlaMint-IS_2022-04-29.u5	s	English	Neutral	neutral negative	1.535	1	17	18	0	
ParlaMint-IS_2022-04-29.seg8.11	ParlaMint-IS_2022-04-29.u5	s	English	Negative	negative	0.395	1	25	30	0	
ParlaMint-IS_2022-04-29.u6	ParlaMint-IS-en_2022-04-29	u	English	-	-	-	1	22	23	0	
ParlaMint-IS_2022-04-29.seg9.1	ParlaMint-IS_2022-04-29.u6	s	English	Neutral	neutral negative	2.468	1	22	23	0	
ParlaMint-IS_2022-04-29.u7	ParlaMint-IS-en_2022-04-29	u	English	-	-	-	16	156	179	1	
ParlaMint-IS_2022-04-29.seg10.1	ParlaMint-IS_2022-04-29.u7	s	English	Positive	mixed positive	3.689	1	3	4	0	
ParlaMint-IS_2022-04-29.seg10.2	ParlaMint-IS_2022-04-29.u7	s	English	Neutral	neutral positive	2.679	1	14	16	0	
