ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2022-02-07-34.u1	ParlaMint-IS-en_2022-02-07-34	u	English	-	-	-	6	178	212	24	
ParlaMint-IS_2022-02-07-34.seg1.1	ParlaMint-IS_2022-02-07-34.u1	s	English	Negative	mixed negative	0.919	1	37	42	7	
ParlaMint-IS_2022-02-07-34.seg1.2	ParlaMint-IS_2022-02-07-34.u1	s	English	Negative	mixed negative	1.306	1	20	21	2	
ParlaMint-IS_2022-02-07-34.seg1.3	ParlaMint-IS_2022-02-07-34.u1	s	English	Neutral	neutral positive	2.681	1	35	40	2	
ParlaMint-IS_2022-02-07-34.seg1.4	ParlaMint-IS_2022-02-07-34.u1	s	English	Neutral	neutral negative	2.379	1	17	24	5	
ParlaMint-IS_2022-02-07-34.seg1.5	ParlaMint-IS_2022-02-07-34.u1	s	English	Neutral	neutral negative	2.194	1	44	55	6	
ParlaMint-IS_2022-02-07-34.seg1.6	ParlaMint-IS_2022-02-07-34.u1	s	English	Positive	mixed positive	3.812	1	25	30	2	
ParlaMint-IS_2022-02-07-34.u2	ParlaMint-IS-en_2022-02-07-34	u	English	-	-	-	1	35	39	4	
ParlaMint-IS_2022-02-07-34.seg2.1	ParlaMint-IS_2022-02-07-34.u2	s	English	Negative	mixed negative	1.476	1	35	39	4	
ParlaMint-IS_2022-02-07-34.u3	ParlaMint-IS-en_2022-02-07-34	u	English	-	-	-	1	18	19	3	
ParlaMint-IS_2022-02-07-34.seg3.1	ParlaMint-IS_2022-02-07-34.u3	s	English	Positive	mixed positive	4.432	1	18	19	3	
ParlaMint-IS_2022-02-07-34.u4	ParlaMint-IS-en_2022-02-07-34	u	English	-	-	-	1	39	43	2	
ParlaMint-IS_2022-02-07-34.seg4.1	ParlaMint-IS_2022-02-07-34.u4	s	English	Neutral	neutral negative	2.108	1	39	43	2	
ParlaMint-IS_2022-02-07-34.u5	ParlaMint-IS-en_2022-02-07-34	u	English	-	-	-	1	19	25	0	
ParlaMint-IS_2022-02-07-34.seg5.1	ParlaMint-IS_2022-02-07-34.u5	s	English	Neutral	neutral positive	2.711	1	19	25	0	
ParlaMint-IS_2022-02-07-34.u6	ParlaMint-IS-en_2022-02-07-34	u	English	-	-	-	12	297	331	3	
ParlaMint-IS_2022-02-07-34.seg6.1	ParlaMint-IS_2022-02-07-34.u6	s	English	Neutral	neutral positive	3.179	1	2	3	0	
ParlaMint-IS_2022-02-07-34.seg6.2	ParlaMint-IS_2022-02-07-34.u6	s	English	Neutral	neutral negative	1.583	1	45	49	0	
ParlaMint-IS_2022-02-07-34.seg6.3	ParlaMint-IS_2022-02-07-34.u6	s	English	Negative	mixed negative	1.477	1	38	40	2	
ParlaMint-IS_2022-02-07-34.seg6.4	ParlaMint-IS_2022-02-07-34.u6	s	English	Negative	negative	0.482	1	30	35	0	
ParlaMint-IS_2022-02-07-34.seg6.5	ParlaMint-IS_2022-02-07-34.u6	s	English	Negative	mixed negative	1.055	1	40	47	0	
ParlaMint-IS_2022-02-07-34.seg7.1	ParlaMint-IS_2022-02-07-34.u6	s	English	Neutral	neutral positive	3.179	1	2	3	0	
ParlaMint-IS_2022-02-07-34.seg7.2	ParlaMint-IS_2022-02-07-34.u6	s	English	Negative	negative	0.219	1	57	62	1	
