ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-DK_20220510130006	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	1	4	5	0	
ParlaMint-DK_20220510130006.seg1.1	ParlaMint-DK_20220510130006	s	English	Positive	mixed positive	3.826	1	4	5	0	
ParlaMint-DK_20220510130016	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	2	17	20	0	
ParlaMint-DK_20220510130016.seg2.1	ParlaMint-DK_20220510130016	s	English	Neutral	neutral positive	3.175	1	12	13	0	
ParlaMint-DK_20220510130016.seg2.2	ParlaMint-DK_20220510130016	s	English	Positive	mixed positive	3.716	1	5	7	0	
ParlaMint-DK_20220510130020	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	46	750	830	31	
ParlaMint-DK_20220510130020.seg3.1	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.234	1	2	3	0	
ParlaMint-DK_20220510130020.seg3.2	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	3.603	1	18	20	3	
ParlaMint-DK_20220510130020.seg3.3	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.167	1	21	23	3	
ParlaMint-DK_20220510130020.seg3.4	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	3.616	1	21	23	1	
ParlaMint-DK_20220510130020.seg3.5	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	3.687	1	10	11	0	
ParlaMint-DK_20220510130020.seg3.6	ParlaMint-DK_20220510130020	s	English	Neutral	neutral positive	3.311	1	15	17	0	
ParlaMint-DK_20220510130020.seg3.7	ParlaMint-DK_20220510130020	s	English	Negative	mixed negative	0.732	1	21	23	3	
ParlaMint-DK_20220510130020.seg3.8	ParlaMint-DK_20220510130020	s	English	Negative	mixed negative	1.248	1	28	32	2	
ParlaMint-DK_20220510130020.seg3.9	ParlaMint-DK_20220510130020	s	English	Neutral	neutral negative	1.852	1	21	22	0	
ParlaMint-DK_20220510130020.seg3.10	ParlaMint-DK_20220510130020	s	English	Neutral	neutral positive	3.263	1	11	12	0	
ParlaMint-DK_20220510130020.seg3.11	ParlaMint-DK_20220510130020	s	English	Neutral	neutral positive	3.227	1	10	11	2	
ParlaMint-DK_20220510130020.seg3.12	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.945	1	18	20	1	
ParlaMint-DK_20220510130020.seg3.13	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	3.576	1	16	18	1	
ParlaMint-DK_20220510130020.seg3.14	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.363	1	30	32	3	
ParlaMint-DK_20220510130020.seg3.15	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.132	1	26	30	1	
ParlaMint-DK_20220510130020.seg3.16	ParlaMint-DK_20220510130020	s	English	Negative	negative	0.342	1	12	14	0	
ParlaMint-DK_20220510130020.seg3.17	ParlaMint-DK_20220510130020	s	English	Negative	mixed negative	0.936	1	15	17	0	
ParlaMint-DK_20220510130020.seg3.18	ParlaMint-DK_20220510130020	s	English	Negative	negative	0.382	1	9	10	0	
ParlaMint-DK_20220510130020.seg3.19	ParlaMint-DK_20220510130020	s	English	Negative	negative	0.024	1	30	31	1	
ParlaMint-DK_20220510130020.seg3.20	ParlaMint-DK_20220510130020	s	English	Negative	mixed negative	0.785	1	10	11	0	
ParlaMint-DK_20220510130020.seg3.21	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.220	1	30	32	0	
ParlaMint-DK_20220510130020.seg3.22	ParlaMint-DK_20220510130020	s	English	Neutral	neutral positive	3.395	1	21	24	1	
ParlaMint-DK_20220510130020.seg3.23	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.748	1	20	21	0	
ParlaMint-DK_20220510130020.seg3.24	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.615	1	7	8	0	
ParlaMint-DK_20220510130020.seg3.25	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.629	1	14	15	0	
ParlaMint-DK_20220510130020.seg3.26	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.022	1	17	18	0	
ParlaMint-DK_20220510130020.seg3.27	ParlaMint-DK_20220510130020	s	English	Neutral	neutral positive	2.589	1	9	11	0	
ParlaMint-DK_20220510130020.seg3.28	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	3.765	1	5	6	0	
ParlaMint-DK_20220510130020.seg3.29	ParlaMint-DK_20220510130020	s	English	Neutral	neutral positive	2.770	1	25	26	0	
ParlaMint-DK_20220510130020.seg3.30	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.944	1	18	20	0	
ParlaMint-DK_20220510130020.seg3.31	ParlaMint-DK_20220510130020	s	English	Positive	positive	5.548	1	4	5	1	
ParlaMint-DK_20220510130020.seg3.32	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.479	1	22	24	0	
ParlaMint-DK_20220510130020.seg3.33	ParlaMint-DK_20220510130020	s	English	Negative	mixed negative	0.833	1	13	14	0	
ParlaMint-DK_20220510130020.seg3.34	ParlaMint-DK_20220510130020	s	English	Neutral	neutral negative	1.585	1	19	20	1	
ParlaMint-DK_20220510130020.seg3.35	ParlaMint-DK_20220510130020	s	English	Positive	positive	5.153	1	8	9	0	
ParlaMint-DK_20220510130020.seg3.36	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.637	1	6	7	1	
ParlaMint-DK_20220510130020.seg3.37	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.795	1	30	33	1	
ParlaMint-DK_20220510130020.seg3.38	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.733	1	14	15	2	
ParlaMint-DK_20220510130020.seg3.39	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.772	1	5	6	0	
ParlaMint-DK_20220510130020.seg3.40	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.580	1	23	26	1	
ParlaMint-DK_20220510130020.seg3.41	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.603	1	4	5	0	
ParlaMint-DK_20220510130020.seg3.42	ParlaMint-DK_20220510130020	s	English	Negative	mixed negative	1.356	1	13	14	0	
ParlaMint-DK_20220510130020.seg3.43	ParlaMint-DK_20220510130020	s	English	Positive	positive	4.786	1	15	17	1	
ParlaMint-DK_20220510130020.seg3.44	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.178	1	20	24	1	
ParlaMint-DK_20220510130020.seg3.45	ParlaMint-DK_20220510130020	s	English	Positive	mixed positive	4.310	1	22	25	0	
ParlaMint-DK_20220510130020.seg3.46	ParlaMint-DK_20220510130020	s	English	Negative	mixed negative	1.081	1	22	25	0	
ParlaMint-DK_20220510130447	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	4	38	48	3	
ParlaMint-DK_20220510130447.seg4.1	ParlaMint-DK_20220510130447	s	English	Positive	mixed positive	4.393	1	4	6	0	
ParlaMint-DK_20220510130447.seg4.2	ParlaMint-DK_20220510130447	s	English	Neutral	neutral positive	3.356	1	8	9	0	
ParlaMint-DK_20220510130447.seg4.3	ParlaMint-DK_20220510130447	s	English	Neutral	neutral positive	3.067	1	18	20	0	
ParlaMint-DK_20220510130447.seg4.4	ParlaMint-DK_20220510130447	s	English	Neutral	neutral positive	3.454	1	8	13	3	
ParlaMint-DK_20220510130500	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	12	230	253	6	
ParlaMint-DK_20220510130500.seg5.1	ParlaMint-DK_20220510130500	s	English	Positive	positive	4.951	1	11	13	0	
ParlaMint-DK_20220510130500.seg5.2	ParlaMint-DK_20220510130500	s	English	Negative	negative	0.355	1	64	71	2	
ParlaMint-DK_20220510130500.seg5.3	ParlaMint-DK_20220510130500	s	English	Negative	mixed negative	0.531	1	28	30	2	
ParlaMint-DK_20220510130500.seg5.4	ParlaMint-DK_20220510130500	s	English	Neutral	neutral positive	2.808	1	5	6	0	
ParlaMint-DK_20220510130500.seg5.5	ParlaMint-DK_20220510130500	s	English	Negative	mixed negative	0.863	1	10	11	0	
ParlaMint-DK_20220510130500.seg5.6	ParlaMint-DK_20220510130500	s	English	Negative	negative	0.370	1	13	15	0	
ParlaMint-DK_20220510130500.seg5.7	ParlaMint-DK_20220510130500	s	English	Neutral	neutral negative	1.504	1	9	10	0	
ParlaMint-DK_20220510130500.seg5.8	ParlaMint-DK_20220510130500	s	English	Negative	negative	0.096	1	22	22	1	
ParlaMint-DK_20220510130500.seg5.9	ParlaMint-DK_20220510130500	s	English	Neutral	neutral negative	2.281	1	13	14	0	
ParlaMint-DK_20220510130500.seg5.10	ParlaMint-DK_20220510130500	s	English	Negative	negative	0.349	1	6	7	0	
ParlaMint-DK_20220510130500.seg5.11	ParlaMint-DK_20220510130500	s	English	Negative	negative	0.339	1	31	35	0	
ParlaMint-DK_20220510130500.seg5.12	ParlaMint-DK_20220510130500	s	English	Negative	negative	0.360	1	18	19	1	
ParlaMint-DK_20220510130631	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	1	3	4	0	
ParlaMint-DK_20220510130631.seg6.1	ParlaMint-DK_20220510130631	s	English	Neutral	neutral positive	3.330	1	3	4	0	
ParlaMint-DK_20220510130632	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	2	29	32	0	
ParlaMint-DK_20220510130632.seg7.1	ParlaMint-DK_20220510130632	s	English	Positive	mixed positive	4.077	1	5	6	0	
ParlaMint-DK_20220510130632.seg7.2	ParlaMint-DK_20220510130632	s	English	Neutral	neutral negative	1.899	1	24	26	0	
ParlaMint-DK_20220510130642	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	1	3	5	2	
ParlaMint-DK_20220510130642.seg8.1	ParlaMint-DK_20220510130642	s	English	Positive	mixed positive	3.617	1	3	5	2	
ParlaMint-DK_20220510130644	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	4	69	73	1	
ParlaMint-DK_20220510130644.seg9.1	ParlaMint-DK_20220510130644	s	English	Negative	mixed negative	0.786	1	12	13	0	
ParlaMint-DK_20220510130644.seg9.2	ParlaMint-DK_20220510130644	s	English	Negative	mixed negative	0.549	1	25	26	1	
ParlaMint-DK_20220510130644.seg9.3	ParlaMint-DK_20220510130644	s	English	Negative	negative	0.167	1	17	18	0	
ParlaMint-DK_20220510130644.seg9.4	ParlaMint-DK_20220510130644	s	English	Negative	mixed negative	0.676	1	15	16	0	
ParlaMint-DK_20220510130713	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	1	3	4	0	
ParlaMint-DK_20220510130713.seg10.1	ParlaMint-DK_20220510130713	s	English	Neutral	neutral positive	3.330	1	3	4	0	
ParlaMint-DK_20220510130714	ParlaMint-DK-en_2022-05-10-20211-M106	u	English	-	-	-	3	27	30	0	
ParlaMint-DK_20220510130714.seg11.1	ParlaMint-DK_20220510130714	s	English	Neutral	neutral positive	2.684	1	10	11	0	
